"","Year","country_code","country_name","lfpr_female","family_benefits_exp","per_female_tertiary","position_guarantee","mandatory_leave_days","employment_services","epl_score","female_politicians"
"85",2010,"SWE","Sweden",58.8979988098145,3.441,59.40091,NA,45,78.015998840332,2.5170066,45
"86",2010,"GBR","United Kingdom",55.4550018310547,3.964,56.56481,NA,21,79.5739974975586,1.7585034,21
"87",2010,"USA","United States",57.5,0.747,57.07055,NA,16.8,79.9059982299805,1.1714286,16.8
"88",2011,"AUT","Austria",53.8400001525879,2.599,NA,"No",28.7,69.0370025634766,2.4421768,28.7
"89",2011,"BEL","Belgium",46.8059997558594,2.835,55.26676,"Yes",38.9,75.4660034179688,3.1309524,38.9
"90",2011,"BGR","Bulgaria",47.2179985046387,NA,55.11191,"Yes",20.8,61.765998840332,NA,20.8
"91",2011,"HRV","Croatia",44.6279983520508,NA,57.32463,"Yes",23.8,57.4599990844727,NA,23.8
"92",2011,"CYP","Cyprus",56.8170013427734,NA,49.77583,NA,10.7,75.2740020751953,NA,10.7
"93",2011,"CZE","Czech Republic",49.431999206543,2.201,57.19835,"Yes",21,58.5579986572266,2.7511337,21
"94",2011,"DNK","Denmark",59.6310005187988,3.814,57.62633,"Yes",39.1,77.7109985351563,2.3202949,39.1
"95",2011,"EST","Estonia",55.560001373291,2.233,59.73551,"Yes",19.8,63.1529998779297,2.0663266,19.8
"96",2011,"FIN","Finland",55.8110008239746,3.092,53.98851,"Yes",42.5,72.7750015258789,2.1666667,42.5
"97",2011,"FRA","France",50.7750015258789,2.811,54.82233,"Yes",20.1,74.9179992675781,2.8225625,20.1
"98",2011,"DEU","Germany",53.6570014953613,2.096,NA,"No",32.4,70.1190032958984,2.8418367,32.4
"99",2011,"GRC","Greece",44.568000793457,1.379,49.29284,"Yes",18.7,69.9619979858398,2.4444444,18.7
"100",2011,"HUN","Hungary",43.9020004272461,3.209,55.85675,"Yes",8.8,64.2750015258789,2.2647393,8.8
"101",2011,"IRL","Ireland",52.992000579834,3.472,51.72804,"Yes",19,76.6340026855469,1.978458,19
"102",2011,"ITA","Italy",37.935001373291,1.342,57.64316,"Yes",20.6,68.0299987792969,3.0323131,20.6
"103",2011,"LVA","Latvia",53.0169982910156,1.127,61.07302,"Yes",23,68.1959991455078,NA,23
